locusnum	CHR	LEAD_SNP	LEAD_BP	MinBP	MaxBP	PVAL
1	21	rs115648504	15216154	15203801	18095063	5e-324
1	21	rs55915529	15291592	15203801	18095063	5e-324
1	21	rs62208204	15341568	15203801	18095063	5e-324
1	21	rs9981958	15388495	15203801	18095063	5e-324
1	21	rs7276301	15417667	15203801	18095063	5e-324
1	21	rs117587472	15443466	15203801	18095063	5e-324
1	21	rs7282128	15469656	15203801	18095063	5e-324
1	21	rs113534237	15458160	15203801	18095063	5e-324
1	21	rs11087929	15519520	15203801	18095063	5e-324
1	21	rs373719	15581287	15203801	18095063	5e-324
1	21	rs2080099	15601628	15203801	18095063	5e-324
1	21	rs11087988	15641431	15203801	18095063	5e-324
1	21	rs980268	15676336	15203801	18095063	5e-324
1	21	rs28531918	15696231	15203801	18095063	5e-324
