locusnum	CHR	LEAD_SNP	LEAD_BP	MinBP	MaxBP	PVAL	is_locus_lead
1	21	rs115648504	15216154	15203801	15223839	5e-324	True
1	21	rs55915529	15291592	15284507	15331425	5e-324	True
1	21	rs62208204	15341568	15321741	15342905	5e-324	True
1	21	rs9981958	15388495	15388495	15443575	5e-324	True
1	21	rs7276301	15417667	15389222	15448599	5e-324	True
1	21	rs117587472	15443466	15393259	15448722	5e-324	True
1	21	rs7282128	15469656	15453973	15514811	5e-324	True
1	21	rs113534237	15458160	15454740	15485763	5e-324	True
1	21	rs11087929	15519520	15455154	15587273	5e-324	True
1	21	rs373719	15581287	15491294	15587130	5e-324	True
1	21	rs2080099	15601628	15598931	15637957	5e-324	True
1	21	rs11087988	15641431	15601582	15684421	5e-324	True
1	21	rs980268	15676336	15665483	15677245	5e-324	True
1	21	rs12482528	15710293	15680957	15717794	3.7570987451775776e-300	False
1	21	rs28531918	15696231	15696231	15725733	5e-324	True
1	21	rs2822625	15731006	15728574	15767216	1.2071051474917394e-276	False
1	21	rs17002932	15785065	15730192	15840499	6.1668898785018675e-214	False
1	21	rs77360494	15757461	15731785	15779063	4.275930301733288e-244	False
1	21	rs9981270	15820297	15796051	15820297	1.0510561947202294e-192	False
1	21	rs141602771	15855546	15855546	15855546	1.3984136406759896e-171	False
1	21	rs760345	15893594	15884949	15894980	5.2759683986477686e-164	False
1	21	rs118133999	15918601	15918601	16121827	3.485894590474679e-153	False
1	21	rs76177477	15943178	15930845	15946329	1.7586527870198495e-138	False
1	21	rs466541	15970716	15970507	15987622	6.239108318386659e-129	False
1	21	rs421894	16008560	15996276	16046072	2.0061885405867394e-119	False
1	21	rs3848846	16076197	16066007	16091027	3.4568222390756684e-104	False
1	21	rs7281062	16129263	16122021	16134783	5.886651699762579e-90	False
1	21	rs146207054	16157199	16143715	16214692	1.3539939906694696e-83	False
1	21	rs76594985	16188182	16184295	16188182	6.026938100411048e-76	False
1	21	rs2822961	16224808	16224808	16228050	1.1023232297902e-70	False
1	21	rs76881648	16267163	16257945	16267463	3.19959145796227e-67	False
1	21	rs2229741	16340289	16329277	16431444	1.3222164482507597e-64	False
1	21	rs73338846	16451188	16448591	16451188	5.456620984389e-57	False
1	21	rs7276254	16489433	16489180	16517709	7.60722512872089e-53	False
1	21	rs12483713	16520686	16520686	16520686	1.6604299646880898e-48	False
1	21	rs79524992	16553203	16520878	16574676	1.0131346807333598e-43	False
1	21	rs2823168	16595041	16584341	16600859	3.029132728470339e-40	False
1	21	rs57438378	16635737	16604251	16638890	1.29762293876092e-38	False
1	21	rs11088345	16678143	16658097	16692165	1.09114376953498e-36	False
1	21	rs2403963	16763767	16700886	16841303	7.690366679447259e-34	False
1	21	rs61481480	16715625	16700961	16741959	1.31182859031046e-35	False
1	21	rs8130728	16851122	16843476	16868442	2.5976799583217104e-29	False
1	21	rs62217411	16892267	16874049	16893945	2.9496312427973896e-27	False
1	21	rs116926926	16920596	16920596	16920596	2.15271717309409e-25	False
1	21	rs28781614	16950162	16946634	16966758	2.7674564885788994e-23	False
1	21	rs73177260	16994106	16994106	16994106	2.8933447839991195e-21	False
1	21	rs55920012	17203597	17014563	17292759	6.05660803780266e-17	False
1	21	rs9978165	17042573	17031588	17054735	1.39504657527194e-19	False
1	21	rs7283764	17095654	17064201	17302634	2.01044226397956e-18	False
1	21	rs117813293	17265896	17123273	17297904	3.93811703439123e-16	False
1	21	rs11701844	17330562	17317239	17342370	5.73578711698326e-15	False
1	21	rs2823536	17370056	17345389	17413179	4.08740085137719e-14	False
1	21	rs6517687	17461792	17461792	17461792	3.4208004410703195e-13	False
1	21	rs2823625	17547886	17523306	17559679	9.40227910054842e-13	False
1	21	rs62219537	17592547	17572568	17611953	2.3929409197123996e-12	False
1	21	rs238997	17637496	17637496	17642316	7.44326942716406e-12	False
1	21	rs56014194	17728967	17728967	17728967	2.3111955945632397e-11	False
1	21	rs2044733	17758088	17753126	17820477	4.8669830739380396e-11	False
1	21	rs1974156	17784905	17776983	17827923	1.23221306540497e-10	False
1	21	rs112314286	17922489	17922489	17922489	9.76856465400417e-10	False
1	21	rs13047919	17999694	17994099	18001708	2.28732673342021e-09	False
1	21	rs2211991	18024622	18011945	18049519	7.07428450290272e-09	False
1	21	rs2823996	18091017	18061418	18095063	4.1243433539985095e-08	False
