locusnum	CHR	INDEP_BP	INDEP_SNP	CAND_BP	CAND_SNP	R2	LEAD_SNP	PVAL	A1	A2	N
1	21	15216154	rs115648504	15203801	rs9984128	0.857792	rs115648504				
1	21	15216154	rs115648504	15204873	rs200480999	0.783928	rs115648504				
1	21	15216154	rs115648504	15204874	rs201103242	0.783928	rs115648504				
1	21	15216154	rs115648504	15204876	rs199575946	0.783928	rs115648504				
1	21	15216154	rs115648504	15204877	rs540655429	0.783928	rs115648504				
1	21	15216154	rs115648504	15205373	rs2822200	0.793177	rs115648504				
1	21	15216154	rs115648504	15205592	rs2822205	0.803845	rs115648504				
1	21	15216154	rs115648504	15206017	rs9984294	0.861143	rs115648504				
1	21	15216154	rs115648504	15206751	rs61531625	0.793177	rs115648504				
1	21	15216154	rs115648504	15207805	rs2822222	0.793177	rs115648504				
1	21	15216154	rs115648504	15207860	rs11908848	0.849123	rs115648504				
1	21	15216154	rs115648504	15208053	rs11911574	0.861143	rs115648504				
1	21	15216154	rs115648504	15208106	rs11911581	0.7884220000000001	rs115648504				
1	21	15216154	rs115648504	15208174	rs11911304	0.849123	rs115648504				
1	21	15216154	rs115648504	15208570	rs1828646	0.861143	rs115648504				
1	21	15216154	rs115648504	15209573	rs200397553	0.8703930000000001	rs115648504				
1	21	15216154	rs115648504	15209833	rs4816854	0.9259950000000001	rs115648504				
1	21	15216154	rs115648504	15214154	rs28522210	1.0	rs115648504				
1	21	15216154	rs115648504	15214196	rs8130780	1.0	rs115648504				
1	21	15216154	rs115648504	15215111	rs9980158	0.912349	rs115648504				
1	21	15216154	rs115648504	15215205	rs28522983	0.9691790000000001	rs115648504				
1	21	15216154	rs115648504	15216110	rs4046635	0.912349	rs115648504				
1	21	15216154	rs115648504	15216154	rs115648504	1.0	rs115648504	1.0000000000000001e-11	A	G	22959.0
1	21	15216154	rs115648504	15216206	rs9979198	0.696405	rs115648504				
1	21	15216154	rs115648504	15217427	rs199664942	1.0	rs115648504				
1	21	15216154	rs115648504	15217551	rs58496338	0.6882739999999999	rs115648504				
1	21	15216154	rs115648504	15217710	rs4046623	0.672489	rs115648504				
1	21	15216154	rs115648504	15217789	rs11911414	0.9691790000000001	rs115648504				
1	21	15216154	rs115648504	15218064	rs35564392	0.9691790000000001	rs115648504				
1	21	15216154	rs115648504	15218103	rs8133062	1.0	rs115648504				
1	21	15216154	rs115648504	15218450	rs149481432	0.813291	rs115648504				
1	21	15216154	rs115648504	15218906	rs1985558	0.6882739999999999	rs115648504				
1	21	15216154	rs115648504	15219847	rs28707003	0.9575959999999999	rs115648504				
1	21	15216154	rs115648504	15220865	rs9979772	0.940075	rs115648504				
1	21	15216154	rs115648504	15222139	rs9976556	0.969282	rs115648504				
1	21	15216154	rs115648504	15222699	rs116778709	0.894006	rs115648504				
1	21	15216154	rs115648504	15222700	rs114833153	0.894006	rs115648504				
1	21	15216154	rs115648504	15222754	rs116593506	0.855514	rs115648504				
1	21	15216154	rs115648504	15223036	rs143789744	0.705828	rs115648504				
1	21	15216154	rs115648504	15223122	rs117735178	0.723645	rs115648504				
1	21	15216154	rs115648504	15223330	rs58442957	0.6223420000000001	rs115648504				
1	21	15216154	rs115648504	15223839	rs114326345	0.685102	rs115648504				
1	21	15308819	rs117891312	15284507	rs149452652	0.914747	rs117891312				
1	21	15308819	rs117891312	15285369	rs72490200	0.978615	rs117891312				
1	21	15308819	rs117891312	15288262	rs2822252	0.741207	rs117891312				
1	21	15308819	rs117891312	15288884	rs74313272	0.992977	rs117891312				
1	21	15308819	rs117891312	15289366	rs79601972	0.992977	rs117891312				
1	21	15308819	rs117891312	15291018	rs2822256	0.992977	rs117891312				
1	21	15308819	rs117891312	15291592	rs55915529	0.992977	rs117891312	0.0271823161697409	T	C	23403.0
1	21	15308819	rs117891312	15296979	rs148880989	1.0	rs117891312				
1	21	15308819	rs117891312	15297745	rs78864343	0.992857	rs117891312				
1	21	15308819	rs117891312	15297902	rs73154775	1.0	rs117891312				
1	21	15308819	rs117891312	15298226	rs117968631	1.0	rs117891312				
1	21	15308819	rs117891312	15298642	rs201838256	0.992858	rs117891312				
1	21	15308819	rs117891312	15298703	rs56098311	1.0	rs117891312				
1	21	15308819	rs117891312	15299148	rs115382893	1.0	rs117891312				
1	21	15308819	rs117891312	15299244	rs55823901	0.992857	rs117891312				
1	21	15308819	rs117891312	15299687	rs2525651	1.0	rs117891312				
1	21	15308819	rs117891312	15300449	rs2822261	1.0	rs117891312				
1	21	15308819	rs117891312	15300916	rs78854710	1.0	rs117891312				
1	21	15308819	rs117891312	15301683	rs2822262	1.0	rs117891312				
1	21	15308819	rs117891312	15301831	rs2822263	1.0	rs117891312				
1	21	15308819	rs117891312	15302105	rs149394003	1.0	rs117891312				
1	21	15308819	rs117891312	15302374	rs145659353	0.9714280000000001	rs117891312				
1	21	15308819	rs117891312	15303312	rs2822267	1.0	rs117891312				
1	21	15308819	rs117891312	15304196	rs199666799	1.0	rs117891312				
1	21	15308819	rs117891312	15304361	rs184383074	0.992857	rs117891312				
1	21	15308819	rs117891312	15304386	rs148783939	0.992857	rs117891312				
1	21	15308819	rs117891312	15304554	rs78005009	1.0	rs117891312				
1	21	15308819	rs117891312	15305679	rs146145194	1.0	rs117891312				
1	21	15308819	rs117891312	15305760	rs563091288	0.971619	rs117891312				
1	21	15308819	rs117891312	15305769	rs2334785	1.0	rs117891312				
1	21	15308819	rs117891312	15306630	rs60905340	1.0	rs117891312				
1	21	15308819	rs117891312	15307119	rs57150478	1.0	rs117891312				
1	21	15308819	rs117891312	15307508	rs138226153	0.9856879999999999	rs117891312				
1	21	15308819	rs117891312	15307511	rs149599862	0.9714280000000001	rs117891312				
1	21	15308819	rs117891312	15307680	rs139743849	0.992977	rs117891312				
1	21	15308819	rs117891312	15307687	rs144409459	0.992977	rs117891312				
1	21	15308819	rs117891312	15307881	rs114281533	0.992977	rs117891312				
1	21	15308819	rs117891312	15307887	rs80095952	0.992977	rs117891312				
1	21	15308819	rs117891312	15307909	rs139244657	0.901035	rs117891312				
1	21	15308819	rs117891312	15308049	rs117125124	0.992977	rs117891312				
1	21	15308819	rs117891312	15308076	rs115617960	0.992977	rs117891312				
1	21	15308819	rs117891312	15308116	rs140818189	0.985979	rs117891312				
1	21	15308819	rs117891312	15308241	rs141979143	0.992977	rs117891312				
1	21	15308819	rs117891312	15308242	rs145614167	0.9714280000000001	rs117891312				
1	21	15308819	rs117891312	15308243	rs202194606	0.9714280000000001	rs117891312				
1	21	15308819	rs117891312	15308440	rs117184381	0.985979	rs117891312				
1	21	15308819	rs117891312	15308710	rs117743329	1.0	rs117891312				
1	21	15308819	rs117891312	15308771	rs142728598	1.0	rs117891312				
1	21	15308819	rs117891312	15308819	rs117891312	1.0	rs117891312	1.0000000000000001e-11	C	T	22771.0
1	21	15308819	rs117891312	15308825	rs117285197	0.992857	rs117891312				
1	21	15308819	rs117891312	15309129	rs72492003	1.0	rs117891312				
1	21	15308819	rs117891312	15309406	rs2822273	1.0	rs117891312				
1	21	15308819	rs117891312	15310747	rs150487044	0.985701	rs117891312				
1	21	15308819	rs117891312	15310795	rs187040714	0.985701	rs117891312				
1	21	15308819	rs117891312	15310912	rs2822276	0.992858	rs117891312				
1	21	15308819	rs117891312	15311828	rs2822277	0.992858	rs117891312				
1	21	15308819	rs117891312	15313244	rs2822278	0.9856360000000001	rs117891312				
1	21	15308819	rs117891312	15313683	rs34526858	0.9856360000000001	rs117891312				
1	21	15308819	rs117891312	15313931	rs2822279	0.9856360000000001	rs117891312				
1	21	15308819	rs117891312	15313975	rs2822280	0.9856360000000001	rs117891312				
1	21	15308819	rs117891312	15314280	rs34924392	0.9856360000000001	rs117891312				
1	21	15308819	rs117891312	15314568	rs2334750	0.683664	rs117891312				
1	21	15308819	rs117891312	15314738	rs2822282	0.9856360000000001	rs117891312				
1	21	15308819	rs117891312	15315500	rs140967132	0.9856360000000001	rs117891312				
1	21	15308819	rs117891312	15316701	rs2822285	0.992858	rs117891312				
